code,name,descr,lang_code,is_active,cr_by,cr_dtimes
DOC025,"Medical card issued by the State Govt, CGHS, ECHS and ESIC","Medical card issued by the State Government, CGHS, ECHS and also ESIC",eng,t,superadmin,2020-12-23 14:36:47.174418
DOC025,በክልሉ መንግስት ፣ በ CGHS ፣ ECHS እና እንዲሁም በ ESIC የተሰጠ የህክምና ካርድ,በክልሉ መንግስት ፣ በ CGHS ፣ ECHS እና እንዲሁም በ ESIC የተሰጠ የህክምና ካርድ,amh,t,superadmin,2020-12-23 14:36:47.174418
DOC026,Canteen card of the Army,Canteen card of the Army,eng,t,superadmin,2020-12-23 14:36:47.174418
DOC026,የሠራዊቱ ካንቴን ካርድ,የሠራዊቱ ካንቴን ካርድ,amh,t,superadmin,2020-12-23 14:36:47.174418
DOC027,Family entitlement document,Any family entitlement document issued by any Central or State Government,eng,t,superadmin,2020-12-23 14:36:47.174418
DOC027,የቤተሰብ መብት ሰነድ,በማንኛውም የማዕከላዊ ወይም የክልል መንግሥት የተሰጠ ማንኛውም የቤተሰብ መብት ሰነድ,amh,t,superadmin,2020-12-23 14:36:47.174418
DOC028,Birth Certificate,Registrar of Birth/municipal Corporation or any local government Birth Certificate,eng,t,superadmin,2020-12-23 14:36:47.174418
DOC028,የልደት ምስክር ወረቀት,የትውልድ መዝገብ ቤት / የማዘጋጃ ቤት ኮርፖሬሽን ወይም ማንኛውም የአከባቢ መስተዳድር የልደት የምስክር ወረቀት,amh,t,superadmin,2020-12-23 14:36:47.174418
EOP,Expetion Photo,Expetion Photo,eng,t,superadmin,2020-12-23 14:36:47.174418
EOP,የጉዞ ፎቶ,የጉዞ ፎቶየጉዞ ፎቶ,amh,t,superadmin,2020-12-23 14:36:47.174418
RNC,Rental contract,Rental Agreement of address,eng,t,superadmin,2020-12-23 14:36:47.174418
RNC,የኪራይ ውል,የአድራሻ ኪራይ ስምምነት,amh,t,superadmin,2020-12-23 14:36:47.174418
KID,Kebele ID,Kebele Identification Number,eng,t,110012,2021-02-10 13:30:18.537638
KID,Kebele ID,Kebele Identification Number,amh,t,110012,2021-02-10 13:30:18.651159
DL,Driving Licnese,Driving Licnese Identification Number,eng,t,110012,2021-02-10 13:31:32.893093
DL,Driving Licnese,Driving Licnese Identification Number,amh,t,110012,2021-02-10 13:31:32.985197
CON,Consent,Consent,eng,t,110011,2021-02-16 07:11:55.18281
CON,Consent,Consent,amh,t,110011,2021-02-16 07:11:55.275545
